Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3,day,month,Total_power_use
0.248,0.0,245.23,1.0,0,0,0,14,12,0
0.442,0.0,245.86,1.8,0,0,0,10,1,0
0.288,0.098,239.83,1.2,0,1,0,13,2,1
0.344,0.244,241.32,1.6,0,1,1,6,8,2
3.97,0.124,244.42,16.2,0,39,18,7,1,57
1.32,0.126,242.08,5.4,0,0,19,7,8,19
1.574,0.0,237.82,6.6,0,0,18,4,9,18
1.742,0.228,237.18,7.4,0,0,1,15,10,1
0.51,0.072,243.28,2.0,0,0,1,31,8,1
0.376,0.37,244.5,2.0,0,1,1,4,7,2
0.352,0.114,246.04,1.6,0,0,0,28,2,0
0.214,0.0,232.98,1.0,0,0,0,25,5,0
0.236,0.0,244.67,1.0,0,0,1,6,4,1
2.454,0.126,239.65,10.2,0,0,18,3,6,18
0.87,0.27,244.2,3.6,0,0,12,1,10,12
1.372,0.244,239.51,5.8,1,2,18,15,6,21
1.298,0.0,239.92,5.4,0,0,18,20,6,18
1.406,0.092,241.19,5.8,0,0,18,13,11,18
0.262,0.118,240.7,1.2,0,0,0,12,8,0
0.332,0.11,241.76,1.4,0,2,0,21,9,2
1.418,0.098,244.13,5.8,0,0,19,19,12,19
1.872,0.0,242.56,7.6,0,0,18,27,12,18
0.298,0.072,240.03,1.2,0,0,1,2,10,1
0.538,0.092,244.52,2.4,0,0,0,3,11,0
1.468,0.098,243.82,6.0,1,0,19,25,3,20
0.522,0.182,240.12,2.4,0,1,1,10,5,2
1.898,0.06,243.19,8.6,0,0,18,13,1,18
0.426,0.256,249.88,2.0,0,0,1,16,12,1
0.082,0.0,242.01,0.2,0,0,0,16,8,0
0.904,0.076,242.53,3.6,0,0,1,13,5,1
0.224,0.0,245.24,0.8,0,0,0,9,2,0
0.412,0.37,240.31,2.2,0,1,1,23,8,2
0.336,0.266,245.25,1.6,0,2,1,4,7,3
3.604,0.456,238.85,15.4,0,37,0,1,1,37
3.92,0.048,240.43,16.2,0,0,18,5,12,18
0.384,0.118,240.7,1.6,0,2,1,15,4,3
0.446,0.236,244.42,2.0,0,0,0,20,2,0
2.126,0.394,239.62,9.0,0,2,17,13,6,19
2.344,0.068,239.49,9.8,0,0,0,4,2,0
1.37,0.064,240.1,5.6,0,1,18,29,4,19
0.196,0.108,238.25,1.0,0,1,0,3,9,1
0.08,0.0,240.09,0.2,0,0,1,27,8,1
0.398,0.178,245.45,1.8,0,0,0,2,1,0
1.316,0.104,243.02,5.4,0,0,18,2,10,18
0.5,0.142,243.82,2.0,0,0,1,15,5,1
0.364,0.11,242.2,1.6,0,0,0,11,5,0
5.162,0.29,236.93,21.8,38,0,17,16,3,55
3.726,0.14,231.72,16.0,37,0,17,24,5,54
1.464,0.052,240.61,6.0,0,0,18,30,6,18
0.236,0.122,236.92,1.2,0,0,0,3,8,0
0.292,0.07,242.73,1.2,0,0,1,28,11,1
3.714,0.062,238.43,15.6,0,38,0,2,1,38
0.22,0.0,242.78,0.8,0,0,0,1,11,0
1.594,0.206,241.02,6.6,0,0,18,29,3,18
0.324,0.1,239.58,1.4,0,0,1,3,10,1
0.158,0.124,240.71,0.8,0,0,1,30,8,1
0.33,0.118,241.55,1.4,0,0,0,27,3,0
1.608,0.134,240.05,6.6,0,0,0,8,3,0
0.23,0.132,241.5,1.0,0,2,0,22,5,2
1.216,0.0,241.65,5.0,0,0,18,19,6,18
0.148,0.0,240.3,0.6,0,0,0,14,7,0
0.17,0.0,241.27,0.8,0,0,1,22,6,1
0.266,0.164,243.5,1.2,0,0,1,12,8,1
0.344,0.112,242.34,1.6,0,0,1,8,6,1
0.256,0.0,243.41,1.0,0,0,1,1,5,1
2.204,0.0,241.2,9.0,2,0,19,18,12,21
0.266,0.252,240.1,1.4,0,0,1,31,8,1
0.696,0.066,243.92,2.8,0,0,0,29,10,0
1.406,0.15,234.84,6.0,0,0,17,9,10,17
0.226,0.0,239.02,1.0,0,0,0,24,5,0
0.288,0.064,240.01,1.4,0,0,0,21,11,0
0.204,0.076,239.62,0.8,0,0,0,25,6,0
0.362,0.112,239.14,1.6,0,0,0,5,2,0
1.766,0.0,231.85,7.6,0,0,17,29,5,17
0.38,0.0,241.69,1.6,0,0,1,3,10,1
2.386,0.076,242.34,9.8,0,0,0,24,1,0
0.296,0.242,242.3,1.6,0,1,1,21,7,2
0.33,0.12,241.45,1.4,0,0,0,8,12,0
0.22,0.0,238.08,1.0,0,0,0,19,1,0
0.224,0.0,237.57,1.0,0,0,0,17,2,0
0.33,0.182,247.46,1.6,0,0,0,31,12,0
2.688,0.126,237.41,11.2,0,0,17,23,1,17
0.336,0.132,243.0,1.4,0,0,1,11,3,1
0.252,0.0,244.43,1.0,0,0,0,19,3,0
0.248,0.118,243.63,1.0,0,0,1,11,9,1
1.426,0.046,242.8,5.8,1,0,1,23,10,2
1.408,0.192,237.82,6.0,0,1,18,17,6,19
0.34,0.262,243.3,1.6,0,2,1,1,6,3
0.268,0.0,242.62,1.2,0,0,0,8,11,0
1.388,0.054,241.94,5.6,0,0,19,1,4,19
0.188,0.0,244.02,0.8,0,0,1,22,6,1
1.31,0.124,240.3,5.4,0,0,1,29,12,1
1.502,0.0,239.92,6.2,0,0,0,12,12,0
1.724,0.078,242.83,7.0,0,0,12,19,6,12
1.43,0.196,240.36,6.0,0,0,0,6,3,0
0.41,0.0,240.39,1.8,0,1,0,31,5,1
1.272,0.0,238.99,5.2,1,0,18,27,9,19
1.522,0.076,242.94,6.2,0,0,0,21,12,0
4.22,0.458,238.06,17.8,1,0,18,18,10,19
0.16,0.0,235.61,0.6,0,0,1,3,8,1
1.324,0.208,238.41,5.6,0,0,17,31,8,17
0.884,0.094,240.66,3.6,0,2,1,18,5,3
0.252,0.124,241.57,1.2,0,0,0,22,4,0
1.188,0.0,239.33,5.0,0,0,0,23,9,0
1.358,0.1,240.52,5.6,0,0,18,6,6,18
2.168,0.122,237.55,9.0,0,0,18,16,3,18
1.442,0.052,241.65,6.0,0,0,18,18,7,18
2.35,0.21,238.93,9.8,0,0,18,28,6,18
2.046,0.0,242.05,8.4,1,0,18,29,9,19
1.474,0.0,235.59,6.2,0,0,17,20,2,17
0.594,0.206,238.64,3.0,0,0,8,14,8,8
0.268,0.122,240.31,1.4,0,0,1,12,7,1
0.656,0.238,241.39,2.8,0,1,1,20,9,2
2.198,0.086,237.38,9.2,0,0,17,10,11,17
1.366,0.068,241.03,5.6,0,0,19,11,11,19
0.63,0.156,242.21,3.0,0,1,6,12,10,7
0.424,0.238,246.82,2.0,0,0,1,8,1,1
0.3,0.1,243.06,1.2,0,0,0,1,3,0
1.512,0.296,240.58,6.4,0,2,18,25,4,20
1.354,0.0,240.18,5.6,0,0,18,13,3,18
2.14,0.0,237.56,9.0,0,0,18,2,12,18
0.258,0.0,244.61,1.0,0,0,1,9,4,1
1.554,0.234,243.99,6.4,0,2,18,16,12,20
3.442,0.198,241.41,14.2,0,0,29,21,10,29
0.302,0.0,235.09,1.2,0,0,0,29,5,0
1.062,0.162,240.12,4.4,0,0,11,31,10,11
0.738,0.1,237.74,3.0,0,0,0,13,6,0
0.352,0.0,243.04,1.4,0,0,1,13,4,1
1.558,0.052,239.83,6.4,0,0,18,31,1,18
2.024,0.052,235.4,8.6,0,1,0,1,10,1
0.152,0.0,242.77,0.6,0,0,0,25,9,0
1.556,0.0,239.24,6.4,0,1,18,2,5,19
2.596,0.116,236.14,11.0,0,0,0,1,1,0
0.174,0.08,240.8,0.8,0,0,0,14,6,0
0.18,0.154,241.54,0.8,0,0,0,28,8,0
1.554,0.0,245.42,6.2,0,0,18,7,2,18
0.31,0.12,244.97,1.4,0,0,0,14,7,0
0.218,0.0,242.24,1.0,0,0,0,30,9,0
2.014,0.0,237.41,8.4,1,0,17,5,1,18
1.392,0.062,240.68,5.8,0,0,18,12,10,18
0.854,0.202,240.31,3.6,0,0,12,19,7,12
0.258,0.124,242.42,1.2,0,0,1,27,5,1
0.208,0.138,241.3,1.0,0,0,0,21,8,0
1.596,0.262,240.26,6.6,0,0,0,22,12,0
0.614,0.314,245.29,2.8,0,2,1,11,5,3
2.43,0.0,238.04,10.2,0,0,17,20,12,17
0.332,0.224,239.35,1.6,0,2,1,12,9,3
4.218,0.0,241.39,17.4,0,37,18,26,12,55
0.44,0.178,244.12,2.0,0,0,1,1,9,1
0.324,0.252,240.38,1.6,0,2,1,2,8,3
0.24,0.14,241.06,1.2,0,0,0,26,7,0
0.332,0.108,242.51,1.4,0,0,1,3,10,1
0.246,0.104,244.52,1.0,0,2,0,1,10,2
1.886,0.058,242.98,7.6,0,0,18,29,10,18
1.236,0.0,236.12,5.2,0,0,17,27,2,17
1.306,0.076,239.69,5.4,0,0,19,9,9,19
2.312,0.108,243.26,9.4,1,1,18,1,1,20
0.21,0.092,236.48,1.0,0,0,0,3,8,0
0.242,0.112,240.6,1.0,0,0,0,13,9,0
2.282,0.472,240.12,9.6,0,0,11,3,11,11
0.954,0.196,242.76,4.0,0,1,1,17,9,2
0.33,0.11,244.01,1.4,0,0,1,19,11,1
1.648,0.238,238.24,7.0,0,5,18,22,4,23
1.58,0.17,231.14,6.8,0,1,16,8,6,17
2.262,0.138,238.83,9.4,0,0,0,11,7,0
0.302,0.234,237.75,1.6,0,1,0,4,9,1
0.248,0.0,245.41,1.0,0,0,0,22,10,0
2.936,0.076,239.75,12.2,0,1,17,6,3,18
0.446,0.176,238.88,2.0,1,0,0,4,6,1
0.284,0.102,243.16,1.2,0,0,1,4,9,1
2.63,0.248,240.96,10.8,0,1,0,1,1,1
0.396,0.23,244.58,1.8,0,1,1,8,4,2
0.212,0.052,245.19,0.8,0,0,0,10,12,0
0.412,0.25,246.6,2.0,0,1,0,20,12,1
1.832,0.058,241.86,7.4,0,0,18,12,12,18
0.454,0.27,243.61,2.0,0,0,0,21,5,0
0.334,0.226,240.65,1.6,0,1,0,16,7,1
0.284,0.066,241.05,1.4,0,0,0,6,7,0
0.964,0.072,238.89,4.0,0,1,0,20,1,1
1.546,0.0,240.9,6.4,0,0,0,1,9,0
0.4,0.0,237.08,1.8,0,0,1,30,5,1
0.244,0.0,237.91,1.0,0,0,0,28,5,0
0.354,0.124,245.23,1.4,0,0,0,29,4,0
0.482,0.21,244.31,2.2,0,1,1,10,6,2
0.218,0.0,244.2,0.8,0,0,0,12,12,0
0.262,0.088,245.01,1.2,0,0,0,1,9,0
0.628,0.134,241.29,2.6,0,2,1,1,1,3
3.618,0.19,235.86,15.2,0,0,17,7,3,17
0.186,0.156,242.33,1.0,0,0,1,14,8,1
0.316,0.116,244.52,1.4,0,0,0,27,3,0
2.158,0.0,238.4,9.0,0,0,18,29,9,18
0.248,0.088,243.87,1.0,0,0,0,12,6,0
0.29,0.084,246.92,1.2,0,1,0,15,1,1
0.16,0.142,241.57,0.8,0,1,1,30,8,2
0.37,0.09,240.89,1.6,0,0,0,29,5,0
0.31,0.212,240.36,1.6,0,0,1,2,9,1
2.382,0.094,245.79,9.8,0,0,18,26,12,18
1.458,0.208,241.93,6.0,0,1,18,22,3,19
1.338,0.058,241.0,5.6,0,0,18,24,1,18
1.458,0.336,240.45,6.2,0,2,18,5,7,20
0.226,0.0,245.29,0.8,0,0,0,16,11,0
0.8,0.224,235.31,3.8,0,1,0,11,5,1
1.338,0.058,239.52,5.6,0,0,0,20,11,0
0.94,0.15,231.22,4.0,0,0,11,28,5,11
0.39,0.196,242.57,1.8,0,0,0,5,4,0
2.008,0.288,240.48,8.4,0,0,17,28,12,17
1.498,0.128,236.82,6.2,0,0,17,14,8,17
2.762,0.392,232.23,12.6,0,1,17,21,3,18
0.922,0.046,246.1,5.2,0,0,0,27,11,0
0.61,0.278,240.35,3.0,0,1,6,5,9,7
0.958,0.206,234.29,4.2,0,0,11,5,5,11
2.77,0.174,237.06,11.6,0,0,1,22,10,1
1.43,0.076,242.28,5.8,0,1,18,6,4,19
0.532,0.284,243.09,2.4,0,0,1,25,8,1
0.298,0.094,242.03,1.2,0,0,0,24,3,0
0.492,0.088,240.38,2.2,0,0,0,27,10,0
0.63,0.288,240.93,2.8,0,2,1,8,7,3
1.696,0.048,238.7,7.0,0,0,18,27,5,18
2.668,0.09,239.73,11.2,0,0,0,19,9,0
1.418,0.152,236.77,6.0,0,0,17,4,10,17
0.308,0.064,241.03,1.2,0,0,0,18,2,0
0.292,0.0,245.38,1.2,0,0,1,24,10,1
0.156,0.048,241.61,0.8,0,0,0,18,9,0
0.988,0.102,245.12,4.0,0,0,0,26,11,0
1.35,0.0,241.99,5.6,0,0,18,24,3,18
2.794,0.092,244.94,11.4,0,0,18,7,2,18
0.286,0.126,241.25,1.2,0,0,1,1,9,1
0.224,0.056,241.02,1.2,0,0,1,5,8,1
0.326,0.234,239.84,1.6,0,1,0,21,8,1
0.346,0.064,245.32,1.4,0,0,1,5,9,1
3.726,0.1,235.67,15.8,0,38,17,8,7,55
1.46,0.156,233.06,6.2,0,0,17,19,5,17
1.584,0.0,237.72,6.6,0,0,18,1,11,18
0.378,0.328,242.09,2.0,0,1,0,21,9,1
0.496,0.182,237.67,2.2,0,0,0,25,5,0
0.274,0.0,244.73,1.2,0,0,1,25,10,1
0.732,0.3,240.32,3.2,0,2,0,2,3,2
0.398,0.21,246.52,1.8,0,2,0,20,12,2
1.412,0.152,234.41,6.2,0,21,0,9,5,21
3.256,0.0,240.71,13.4,0,40,0,10,2,40
0.304,0.188,241.72,1.4,0,2,0,25,8,2
2.086,0.3,239.79,8.8,0,1,17,15,7,18
1.712,0.274,243.01,7.0,1,0,19,13,3,20
0.516,0.074,240.84,2.4,0,0,0,30,10,0
0.304,0.232,241.49,1.6,0,0,1,23,8,1
1.592,0.146,243.91,7.0,0,1,0,4,3,1
0.524,0.082,246.75,2.0,0,0,1,7,3,1
0.424,0.26,243.52,2.0,0,1,0,18,3,1
1.612,0.0,237.62,6.8,0,0,18,26,1,18
2.61,0.058,236.44,11.0,0,0,28,3,10,28
1.386,0.152,240.89,5.8,2,0,19,16,6,21
2.176,0.0,237.77,9.0,0,0,18,4,10,18
3.158,0.204,241.24,13.8,14,0,30,9,9,44
1.254,0.064,238.86,5.2,0,0,17,7,2,17
1.426,0.0,242.47,5.8,0,1,18,18,10,19
0.224,0.14,242.99,1.0,0,1,1,20,7,2
3.28,0.0,229.85,14.2,35,0,16,23,4,51
0.27,0.146,244.54,1.2,0,0,1,28,5,1
0.392,0.232,239.94,1.8,0,2,0,4,3,2
0.172,0.144,237.76,0.8,0,0,1,21,8,1
0.358,0.156,245.37,1.6,0,0,1,2,5,1
0.382,0.294,242.31,2.0,0,1,1,13,9,2
0.26,0.082,241.91,1.2,0,0,1,2,7,1
2.804,0.082,237.27,11.8,0,0,17,6,10,17
3.45,0.31,233.4,14.8,1,1,17,17,10,19
1.832,0.0,241.81,7.6,0,0,18,23,12,18
1.944,0.21,235.35,8.2,0,0,28,20,4,28
1.316,0.048,241.1,5.4,0,0,19,12,4,19
0.488,0.07,239.99,2.2,0,0,1,6,10,1
0.834,0.114,240.27,3.4,0,0,12,31,7,12
1.36,0.198,239.51,5.6,0,0,18,11,9,18
0.744,0.0,244.72,3.0,0,1,0,23,10,1
0.724,0.0,242.65,3.0,0,0,0,19,4,0
0.406,0.062,238.82,1.8,0,0,1,6,5,1
0.282,0.138,243.17,1.2,0,0,1,25,8,1
4.426,0.092,235.13,19.0,0,0,17,23,8,17
1.546,0.212,240.99,6.6,0,0,0,1,7,0
0.316,0.116,245.3,1.4,0,0,0,10,11,0
0.316,0.064,241.09,1.4,0,0,0,18,10,0
2.148,0.174,232.22,9.4,0,0,17,7,5,17
0.236,0.0,243.12,1.0,0,0,0,1,1,0
0.48,0.396,249.61,2.4,0,2,0,24,12,2
1.494,0.188,241.15,6.2,0,1,18,16,6,19
1.25,0.098,236.17,5.2,0,0,0,22,10,0
1.352,0.454,240.35,7.0,0,0,0,19,3,0
4.196,0.264,243.57,17.2,0,37,18,17,1,55
0.176,0.092,241.12,1.0,0,0,1,17,6,1
0.386,0.354,240.79,2.2,0,1,1,17,8,2
0.356,0.214,243.74,1.6,0,0,1,7,6,1
3.126,0.0,236.51,13.2,0,0,17,16,1,17
0.61,0.046,242.33,2.6,0,0,0,29,8,0
0.178,0.152,241.26,0.8,0,0,1,19,8,1
0.242,0.124,241.87,1.0,0,2,1,25,7,3
0.304,0.054,247.22,1.2,0,0,0,2,12,0
0.338,0.204,242.8,1.6,0,1,1,5,9,2
6.17,0.082,237.99,26.0,0,0,0,31,12,0
1.586,0.28,242.51,6.6,0,2,1,7,5,3
0.392,0.184,232.93,1.8,0,1,1,26,5,2
0.398,0.198,240.56,1.8,0,0,0,23,2,0
0.566,0.358,244.18,2.8,1,1,0,11,10,2
0.714,0.31,238.26,3.2,0,1,0,1,7,1
0.332,0.228,242.27,1.6,0,0,0,27,5,0
0.372,0.216,241.78,1.8,0,0,0,16,6,0
0.33,0.218,242.25,1.6,0,1,0,7,7,1
2.39,0.06,244.06,9.8,0,0,18,21,1,18
0.31,0.0,232.91,1.4,0,0,0,3,5,0
1.474,0.22,241.33,6.0,0,2,19,25,11,21
1.662,0.0,238.26,7.0,0,0,18,23,12,18
0.286,0.0,244.0,1.2,0,0,0,17,12,0
1.358,0.0,240.94,5.6,0,0,19,17,5,19
0.296,0.09,242.83,1.4,0,0,0,21,9,0
0.852,0.282,240.51,3.6,0,1,11,24,9,12
0.27,0.096,243.35,1.2,0,0,1,19,6,1
3.036,0.346,235.51,12.8,0,2,17,14,2,19
1.968,0.11,239.89,8.2,1,0,18,12,11,19
3.516,0.0,236.57,14.8,0,38,17,24,3,55
0.276,0.062,242.18,1.2,0,0,1,15,10,1
0.334,0.132,249.33,1.4,0,1,1,14,12,2
1.83,0.438,242.29,7.8,1,2,18,30,12,21
1.408,0.2,233.89,6.0,0,0,17,7,8,17
1.452,0.062,240.42,6.0,0,0,1,21,3,1
0.348,0.13,243.74,1.4,0,0,1,3,5,1
6.226,0.366,231.94,26.8,0,35,16,13,10,51
0.3,0.0,243.8,1.2,0,0,0,28,11,0
1.01,0.308,241.51,4.4,0,0,12,19,10,12
0.838,0.124,242.1,3.4,1,0,1,27,12,2
0.152,0.0,240.94,0.6,0,0,0,27,6,0
0.318,0.28,243.67,1.6,0,1,0,20,7,1
1.7,0.0,241.32,7.0,0,0,18,3,12,18
0.216,0.0,244.79,0.8,0,0,0,19,3,0
0.254,0.086,241.51,1.2,0,0,1,17,9,1
0.484,0.134,243.02,2.0,0,5,0,26,9,5
1.268,0.048,239.53,5.2,0,0,18,19,3,18
1.174,0.074,232.84,5.0,0,0,16,13,8,16
0.358,0.046,243.5,1.6,0,0,0,5,11,0
1.486,0.108,237.06,6.2,0,0,17,31,1,17
0.218,0.052,243.55,1.0,0,0,0,3,10,0
1.476,0.072,244.2,6.0,0,0,18,24,1,18
1.56,0.198,241.5,6.4,0,2,18,7,10,20
0.302,0.068,240.19,1.2,0,0,0,28,5,0
1.808,0.242,242.59,7.4,0,4,18,16,11,22
0.216,0.0,244.26,1.0,0,0,0,22,1,0
1.338,0.056,238.22,5.6,0,0,18,13,10,18
0.298,0.086,240.64,1.2,0,0,0,26,9,0
0.184,0.0,239.96,1.0,0,0,0,11,6,0
0.234,0.0,241.77,1.0,0,0,1,14,5,1
2.704,0.178,236.3,11.4,0,38,0,23,2,38
1.286,0.17,243.21,5.8,0,0,0,3,1,0
0.294,0.104,241.38,1.2,0,1,0,13,2,1
0.282,0.168,241.23,1.4,0,0,1,7,7,1
3.144,0.104,240.52,13.0,39,0,1,11,1,40
0.904,0.342,241.35,4.0,0,0,11,30,8,11
1.272,0.0,239.79,5.2,0,0,18,21,3,18
3.99,0.252,244.14,16.4,0,38,0,28,12,38
0.174,0.0,242.27,0.8,0,0,0,29,8,0
0.926,0.054,235.59,3.8,0,0,0,15,10,0
0.322,0.086,238.1,1.4,0,0,0,18,5,0
0.296,0.058,241.86,1.4,0,0,1,13,10,1
0.314,0.048,240.33,1.2,0,1,1,2,10,2
0.32,0.114,243.49,1.4,0,0,1,16,11,1
0.302,0.068,234.54,1.2,0,0,0,23,5,0
1.804,0.116,242.93,7.4,0,0,19,5,12,19
0.322,0.094,242.74,1.4,0,0,0,1,2,0
2.718,0.13,241.64,11.2,0,38,0,19,11,38
0.314,0.208,238.2,1.6,0,0,1,28,7,1
1.506,0.286,241.72,6.2,0,0,11,4,10,11
1.672,0.242,240.78,7.0,0,0,18,20,12,18
1.47,0.17,239.58,6.2,0,1,18,6,9,19
0.242,0.1,239.8,1.0,0,1,0,24,7,1
2.546,0.28,240.93,10.6,0,1,0,25,3,1
0.358,0.14,241.55,1.6,0,0,1,2,5,1
0.646,0.202,241.63,3.0,0,1,0,29,1,1
1.296,0.054,240.38,5.4,0,0,19,15,10,19
0.258,0.268,239.37,1.4,0,2,0,27,8,2
0.206,0.06,235.16,0.8,0,0,0,31,5,0
2.884,0.048,240.74,11.8,38,0,0,15,3,38
1.668,0.254,245.0,6.8,0,2,18,22,1,20
3.14,0.108,240.09,13.0,2,0,17,1,3,19
